ученик_id;имя;пол;возраст;город;тип_школы;любимый_предмет;часов_подготовки_в_неделю;репетитор;кол_во_пробников;пропусков_уроков;мотивация_1_10;часов_сна;средний_балл_года;балл_егэ;сдал;ФИО_полное;email;телефон
48;Елизавета;Ж;16;Екатеринбург;Лицей;Обществознание;11.2;нет;2;8;4.0;7.8;2.2;45;да;Соловьёва Елизавета Егоровна;elizaveta_soloveva97@mail.ru;89543858143
49;Варвара;Ж;17;Нижний Новгород;Гимназия;Русский язык;5.6;нет;5;8;6.0;7.0;2.4;43;да;Сидорова Варвара Артёмовна;v.sidorova@rambler.ru;+7-920-698-42-10
50;Анна;Ж;17;Екатеринбург;Обычная;История;8.0;нет;6;7;9.0;8.7;3.3;74;да;Голубева Анна Дмитриевна;anna50@yandex.ru;89598262915
51;Дарья;Ж;17;Санкт-Петербург;Лицей;Информатика;4.5;да;3;2;6.0;;2.7;72;да;Новикова Дарья Максимовна;darya.novikova@gmail.com;+79417111690
52;Никита;М;16;Санкт-Петербург;Обычная;История;9.3;да;7;11;4.0;;3.1;61;да;Богданов Никита Владимирович;nikita.bogdanov@mail.ru;+79844087283
53;Михаил;М;17;Самара;Лицей;Математика;11.8;нет;7;0;4.0;8.8;2.2;76;да;Волков Михаил Артёмович;mikhail_volkov61@yandex.ru;89451745077
54;Матвей;М;17;Новосибирск;Обычная;Химия;9.1;нет;11;6;10.0;9.0;3.2;72;да;Виноградов Матвей Максимович;matvey54@mail.ru;89236331874
55;Дмитрий;М;16;Новосибирск;Обычная;Биология;5.8;нет;8;7;;5.7;3.1;69;да;Соколов Дмитрий Николаевич;d.sokolov@mail.ru;+7 (953) 656-78-61
56;Матвей;М;17;Казань;Обычная;Химия;9.7;нет;7;8;7.0;7.9;3.2;73;да;Сидоров Матвей Владимирович;matvey_sidorov21@yahoo.com;+7-944-326-37-94
57;Ксения;Ж;17;Ростов-на-Дону;Гимназия;Химия;9.6;нет;8;8;6.0;8.6;3.0;72;да;Петрова Ксения Александровна;kseniya_petrova76@mail.ru;+79424694737
58;Тимофей;М;17;Санкт-Петербург;Обычная;Математика;0.0;нет;6;10;4.0;8.0;2.1;30;да;Лебедев Тимофей Егорович;timofey58@rambler.ru;+7 (967) 586-81-93
59;Полина;Ж;16;Самара;Обычная;Математика;1.0;нет;5;1;4.0;6.0;2.6;55;да;Новикова Полина Дмитриевна;polina_novikova61@gmail.com;89147845467
60;Виктория;Ж;18;Самара;Гимназия;Биология;3.7;нет;5;10;5.0;7.1;2.0;26;нет;Сидорова Виктория Ивановна;viktoriya_sidorova43@edu.ru;+7 (982) 728-89-41
61;Арина;Ж;17;Санкт-Петербург;Лицей;Информатика;0.0;да;7;4;4.0;7.1;3.0;69;да;Лебедева Арина Андреевна;arina.lebedeva@yahoo.com;8 987 428 58 24
62;Варвара;Ж;17;Москва;Обычная;Биология;8.8;да;6;7;5.0;9.2;3.2;68;да;Смирнова Варвара Ивановна;varvara_smirnova93@edu.ru;+79326534613
63;Максим;М;18;Санкт-Петербург;Обычная;Информатика;9.2;да;5;4;6.0;5.6;4.2;93;да;Соловьёв Максим Дмитриевич;maksim.solovev@rambler.ru;8 998 483 75 75
64;Варвара;Ж;17;Казань;Гимназия;Математика;16.8;да;6;4;1.0;6.4;3.8;88;да;Козлова Варвара Артёмовна;varvara64@gmail.com;89621444793
65;Тимофей;М;17;Нижний Новгород;Обычная;История;6.6;да;3;1;6.0;4.9;3.5;83;да;Зайцев Тимофей Дмитриевич;t.zaytsev@gmail.com;89416262022
66;Никита;М;17;Екатеринбург;Обычная;Русский язык;9.1;нет;4;6;4.0;7.0;2.8;62;да;Волков Никита Дмитриевич;nikita66@mail.ru;+7 (998) 650-78-10
67;Милана;Ж;16;Новосибирск;Обычная;Обществознание;7.9;да;6;4;6.0;9.9;3.1;79;да;Попова Милана Николаевна;milana67@mail.ru;8 926 786 90 37
68;Данил;М;17;Новосибирск;Обычная;Математика;6.9;нет;2;6;5.0;6.8;2.6;51;да;Волков Данил Сергеевич;d.volkov@gmail.com;8 913 310 78 99
69;Артём;М;17;Ростов-на-Дону;Лицей;Английский язык;10.9;нет;7;8;10.0;7.1;2.9;69;да;Волков Артём Андреевич;artem.volkov@yandex.ru;89829361997
70;Александр;М;18;Ростов-на-Дону;Гимназия;Физика;9.1;нет;5;3;8.0;8.0;3.8;84;да;Соколов Александр Александрович;aleksandr.sokolov@outlook.com;+7 (903) 570-52-14
71;Варвара;Ж;17;Москва;Обычная;Английский язык;10.3;нет;6;4;6.0;6.7;2.7;62;да;Козлова Варвара Александровна;varvara_kozlova54@mail.ru;+79091553242
72;Максим;М;16;Самара;Гимназия;Математика;6.4;да;8;5;8.0;7.7;3.2;81;да;Сидоров Максим Максимович;maksim72@yandex.ru;8 909 688 39 43
73;Тимофей;М;17;Казань;Лицей;Химия;11.2;нет;6;3;8.0;7.7;3.3;84;да;Богданов Тимофей Александрович;timofey73@yandex.ru;8 949 561 90 61
74;Михаил;М;17;Самара;Лицей;Информатика;8.8;да;6;6;6.0;5.7;2.0;60;да;Попов Михаил Андреевич;mikhail74@gmail.com;+7 (940) 117-59-96
75;Ксения;Ж;17;Ростов-на-Дону;Обычная;Русский язык;13.6;нет;8;3;8.0;7.2;3.5;90;да;Голубева Ксения Максимовна;k.golubeva@yandex.ru;+7 (968) 106-92-89
76;Максим;М;17;Екатеринбург;Обычная;Химия;17.8;да;7;3;8.0;;3.4;87;да;Лебедев Максим Максимович;m.lebedev@yandex.ru;+7 (996) 863-84-15
77;Кирилл;М;16;Екатеринбург;Лицей;Русский язык;5.3;да;11;4;1.0;8.1;3.8;70;да;Попов Кирилл Артёмович;kirill_popov85@outlook.com;+7-945-614-23-47
78;Максим;М;17;Новосибирск;Лицей;Информатика;0.2;нет;5;13;9.0;;3.1;53;да;Зайцев Максим Сергеевич;maksim78@mail.ru;8 977 188 46 66
79;Полина;Ж;17;Москва;Обычная;Информатика;1.4;нет;4;6;8.0;7.1;2.1;57;да;Соловьёва Полина Ивановна;p.soloveva@outlook.com;8 950 941 94 13
80;Ева;Ж;17;Москва;Обычная;Русский язык;9.0;нет;3;2;6.0;7.3;2.8;65;да;Козлова Ева Владимировна;eva_kozlova70@mail.ru;8 920 646 38 27
81;Милана;Ж;17;Казань;Обычная;Обществознание;11.6;нет;7;5;4.0;8.1;3.4;72;да;Голубева Милана Артёмовна;milana_golubeva79@outlook.com;+7-969-402-91-28
82;Матвей;М;18;Самара;Обычная;Химия;5.5;да;5;7;7.0;6.0;2.3;57;да;Лебедев Матвей Егорович;m.lebedev@yandex.ru;+7 (986) 914-92-57
83;Матвей;М;17;Казань;Обычная;Обществознание;4.8;нет;6;6;5.0;6.4;3.2;75;да;Морозов Матвей Сергеевич;matvey_morozov72@gmail.com;+7 (970) 995-81-28
84;Дарья;Ж;17;Новосибирск;Обычная;Обществознание;7.3;да;4;11;6.0;;2.1;51;да;Петрова Дарья Сергеевна;d.petrova@gmail.com;8 905 105 83 86
85;Мария;Ж;17;Екатеринбург;Обычная;Физика;2.5;да;9;7;3.0;5.4;3.6;64;да;Лебедева Мария Сергеевна;mariya_lebedeva91@yandex.ru;89686602049
86;Ева;Ж;18;Казань;Гимназия;Физика;13.0;да;7;5;10.0;7.5;2.9;81;да;Петрова Ева Дмитриевна;eva86@mail.ru;8 995 859 54 37
87;Роман;М;17;Новосибирск;Гимназия;Английский язык;26.8;да;7;1;6.0;9.0;4.6;100;да;Морозов Роман Егорович;roman87@mail.ru;89829717528
88;Матвей;М;17;Екатеринбург;Обычная;Физика;5.3;да;3;10;5.0;;2.0;41;да;Соловьёв Матвей Артёмович;matvey_solovev37@yandex.ru;89233268842
89;Варвара;Ж;17;Самара;Обычная;Математика;14.7;нет;8;3;3.0;8.0;4.2;88;да;Козлова Варвара Егоровна;varvara89@yahoo.com;+7 (914) 285-95-82
90;Анна;Ж;17;Самара;Обычная;Химия;6.5;да;4;7;6.0;6.3;3.6;74;да;Сидорова Анна Ивановна;anna_sidorova99@mail.ru;+79966626992
91;Михаил;М;16;Самара;Обычная;Английский язык;2.0;да;8;6;6.0;5.9;2.8;74;да;Соколов Михаил Николаевич;mikhail_sokolov6@gmail.com;+7-909-397-95-18
92;Ксения;Ж;17;Екатеринбург;Гимназия;Физика;5.9;нет;8;7;8.0;9.5;2.9;74;да;Виноградова Ксения Егоровна;kseniya.vinogradova@mail.ru;+7-912-302-84-72
93;Ева;Ж;18;Нижний Новгород;Обычная;Биология;5.0;да;7;6;6.0;5.9;3.4;76;да;Морозова Ева Сергеевна;eva93@edu.ru;89452319593
94;Никита;М;18;Санкт-Петербург;Гимназия;Информатика;1.8;нет;5;10;8.0;5.4;2.9;55;да;Соколов Никита Иванович;nikita_sokolov96@outlook.com;89123918918
95;Виктория;Ж;16;Санкт-Петербург;Обычная;Информатика;19.3;нет;6;2;5.0;7.7;4.1;95;да;Павлова Виктория Николаевна;v.pavlova@yandex.ru;+79405976752
96;Дмитрий;М;17;Ростов-на-Дону;Гимназия;Химия;7.7;да;12;8;5.0;7.2;2.6;66;да;Соловьёв Дмитрий Андреевич;dmitriy_solovev72@gmail.com;89844139884
97;Роман;М;16;Екатеринбург;Лицей;Русский язык;12.9;нет;7;6;7.0;8.1;4.4;81;да;Зайцев Роман Николаевич;r.zaytsev@yandex.ru;8 972 680 56 50
98;Арина;Ж;17;Москва;Лицей;Информатика;4.8;да;9;7;6.0;9.2;2.3;64;да;Кузнецова Арина Андреевна;a.kuznetsova@yandex.ru;89211045041
99;София;Ж;17;Новосибирск;Гимназия;Физика;7.1;да;6;8;7.0;6.0;4.0;70;да;Козлова София Александровна;sofiya.kozlova@edu.ru;+7-991-857-92-65
100;Егор;М;17;Ростов-на-Дону;Обычная;Обществознание;8.6;нет;4;4;6.0;6.0;2.9;50;да;Кузнецов Егор Николаевич;e.kuznetsov@edu.ru;8 946 237 96 52
101;Ксения;Ж;17;Москва;Обычная;Физика;9.2;нет;9;5;7.0;9.1;3.6;74;да;Лебедева Ксения Андреевна;k.lebedeva@gmail.com;8 959 556 55 49
102;Егор;М;17;Новосибирск;Обычная;Обществознание;14.5;нет;6;6;9.0;8.6;3.5;99;да;Голубев Егор Владимирович;egor.golubev@yahoo.com;+79702113292
103;Милана;Ж;17;Самара;Гимназия;Математика;7.0;да;4;7;4.0;7.9;3.3;72;да;Голубева Милана Сергеевна;milana_golubeva92@outlook.com;+79109614527
104;Максим;М;17;Ростов-на-Дону;Гимназия;Информатика;6.0;нет;4;8;7.0;6.2;3.1;61;да;Козлов Максим Дмитриевич;maksim.kozlov@edu.ru;+7 (925) 369-90-19
105;Виктория;Ж;17;Казань;Обычная;Физика;0.0;да;0;12;8.0;8.0;2.0;49;да;Виноградова Виктория Николаевна;v.vinogradova@gmail.com;+7 (902) 969-74-90
106;Мария;Ж;17;Ростов-на-Дону;Лицей;Химия;0.0;да;2;4;2.0;7.9;2.3;48;да;Васильева Мария Максимовна;m.vasileva@yahoo.com;89746926185
107;Алиса;Ж;17;Нижний Новгород;Обычная;История;2.2;да;7;6;5.0;6.7;2.2;55;да;Виноградова Алиса Егоровна;alisa107@outlook.com;+79046644379
108;Милана;Ж;16;Новосибирск;Обычная;Английский язык;5.5;нет;4;9;6.0;6.0;2.4;55;да;Соловьёва Милана Андреевна;m.soloveva@gmail.com;8 960 769 29 56
109;Матвей;М;17;Самара;Лицей;История;3.5;да;8;8;9.0;7.2;2.9;78;да;Волков Матвей Артёмович;matvey_volkov37@edu.ru;89288908547
110;София;Ж;17;Самара;Обычная;Химия;11.8;нет;9;3;9.0;9.4;4.2;79;да;Лебедева София Андреевна;sofiya.lebedeva@yandex.ru;8 959 613 75 21
111;Данил;М;17;Казань;Обычная;Химия;15.7;нет;5;0;9.0;6.4;4.1;100;да;Кузнецов Данил Николаевич;d.kuznetsov@yandex.ru;89466141194
112;Алиса;Ж;16;Москва;Лицей;Английский язык;0.0;нет;3;10;6.0;5.9;2.5;48;да;Семёнова Алиса Андреевна;alisa.semenova@mail.ru;89788003175
113;Мария;Ж;18;Самара;Обычная;Английский язык;8.6;нет;6;3;6.0;6.7;3.6;87;да;Павлова Мария Ивановна;mariya113@mail.ru;+79572633282
114;Артём;М;18;Москва;Обычная;История;10.4;нет;12;5;;;3.4;69;да;Сидоров Артём Артёмович;artem.sidorov@yahoo.com;+7-984-993-28-71
115;Мария;Ж;17;Самара;Обычная;Русский язык;9.1;да;9;9;3.0;6.9;2.2;64;да;Петрова Мария Николаевна;mariya115@mail.ru;+7 (905) 324-72-39
116;Ксения;Ж;17;Казань;Обычная;Физика;4.7;да;6;3;9.0;8.3;3.1;82;да;Смирнова Ксения Дмитриевна;kseniya_smirnova5@gmail.com;89334783915
117;Матвей;М;18;Нижний Новгород;Лицей;Физика;8.8;нет;5;6;7.0;7.6;2.3;63;да;Кузнецов Матвей Иванович;matvey_kuznetsov73@rambler.ru;8 966 910 56 59
118;Данил;М;17;Екатеринбург;Гимназия;Физика;12.4;да;9;4;4.0;7.1;2.9;72;да;Попов Данил Артёмович;danil.popov@mail.ru;+7-958-147-15-93
119;Тимофей;М;17;Москва;Обычная;Английский язык;9.9;да;5;7;6.0;7.2;3.0;67;да;Васильев Тимофей Егорович;timofey_vasilev59@edu.ru;+7-913-820-76-91
120;Егор;М;17;Москва;Гимназия;Русский язык;3.4;да;3;8;7.0;7.3;2.5;56;да;Богданов Егор Максимович;egor120@mail.ru;+79943698479
121;Александр;М;18;Нижний Новгород;Лицей;Обществознание;1.5;да;6;10;6.0;4.5;2.0;49;да;Сидоров Александр Егорович;aleksandr121@gmail.com;+7-922-485-93-58
122;Анна;Ж;17;Екатеринбург;Гимназия;Обществознание;7.4;да;7;2;5.0;8.5;3.6;84;да;Соловьёва Анна Андреевна;a.soloveva@yandex.ru;+7-975-769-19-76
123;Алиса;Ж;16;Москва;Лицей;Химия;9.0;да;3;3;1.0;5.9;2.8;61;да;Соловьёва Алиса Андреевна;alisa_soloveva21@outlook.com;+7-948-328-76-61
124;Иван;М;18;Ростов-на-Дону;Обычная;Физика;7.0;нет;3;9;6.0;6.3;3.2;62;да;Богданов Иван Александрович;ivan_bogdanov92@mail.ru;+7 (944) 598-71-87
125;Ева;Ж;17;Санкт-Петербург;Лицей;Физика;10.5;да;7;9;4.0;7.4;3.0;60;да;Зайцева Ева Артёмовна;eva.zaytseva@mail.ru;89642426631
126;Ева;Ж;17;Самара;Обычная;История;10.9;нет;10;4;8.0;7.1;2.3;92;да;Семёнова Ева Андреевна;eva_semenova73@edu.ru;89096269245
127;Роман;М;18;Москва;Обычная;История;11.8;нет;11;0;8.0;7.6;3.5;89;да;Козлов Роман Александрович;r.kozlov@mail.ru;+79192913056
128;Елизавета;Ж;17;Санкт-Петербург;Обычная;Химия;6.4;да;4;9;8.0;7.0;2.4;65;да;Голубева Елизавета Егоровна;elizaveta128@yahoo.com;89919362594
129;Дарья;Ж;17;Екатеринбург;Обычная;Биология;14.8;нет;4;5;;7.0;3.6;95;да;Иванова Дарья Александровна;darya_ivanova12@yahoo.com;8 953 930 52 24
130;Варвара;Ж;18;Екатеринбург;Обычная;Обществознание;16.2;нет;5;1;10.0;9.3;4.1;98;да;Смирнова Варвара Егоровна;varvara.smirnova@mail.ru;+79865907136
131;Полина;Ж;16;Екатеринбург;Гимназия;История;6.3;нет;12;5;10.0;8.0;2.7;77;да;Голубева Полина Николаевна;p.golubeva@outlook.com;89207626212
132;Варвара;Ж;17;Санкт-Петербург;Обычная;История;3.7;да;6;1;10.0;7.7;3.6;84;да;Козлова Варвара Андреевна;varvara_kozlova32@gmail.com;89052308385
133;Роман;М;17;Казань;Обычная;Физика;17.9;да;7;1;10.0;8.2;4.0;100;да;Морозов Роман Иванович;roman_morozov50@yandex.ru;+79177447515
134;Арина;Ж;18;Казань;Гимназия;Математика;12.4;да;8;8;7.0;6.5;3.8;92;да;Смирнова Арина Егоровна;arina134@gmail.com;89181573143
135;Елизавета;Ж;18;Новосибирск;Обычная;Химия;3.0;нет;11;6;4.0;9.8;3.1;69;да;Новикова Елизавета Максимовна;elizaveta_novikova39@rambler.ru;+7 (966) 515-86-82
136;Александр;М;17;Ростов-на-Дону;Обычная;Информатика;6.9;нет;6;4;10.0;5.9;3.8;88;да;Васильев Александр Иванович;aleksandr.vasilev@gmail.com;+7 (992) 845-94-46
137;Арина;Ж;17;Новосибирск;Гимназия;Информатика;12.6;нет;9;11;7.0;7.3;2.9;75;да;Попова Арина Ивановна;arina_popova89@yandex.ru;8 927 559 87 70
138;Никита;М;17;Ростов-на-Дону;Гимназия;Химия;3.6;нет;6;13;7.0;6.3;2.1;39;да;Зайцев Никита Егорович;nikita.zaytsev@edu.ru;89213246286
139;Тимофей;М;17;Казань;Лицей;Английский язык;8.1;нет;9;8;6.0;6.8;3.4;82;да;Иванов Тимофей Андреевич;timofey.ivanov@outlook.com;+79749403389
140;Михаил;М;17;Санкт-Петербург;Обычная;Обществознание;9.5;нет;1;8;7.0;6.0;2.3;42;да;Козлов Михаил Сергеевич;mikhail_kozlov21@yahoo.com;8 933 271 97 53
141;Милана;Ж;16;Москва;Обычная;История;1.4;да;5;4;1.0;5.8;2.4;46;да;Семёнова Милана Дмитриевна;milana_semenova89@yandex.ru;8 976 704 18 39
142;Артём;М;17;Санкт-Петербург;Гимназия;История;8.7;нет;6;4;6.0;8.8;4.3;83;да;Попов Артём Александрович;artem_popov48@rambler.ru;89492352312
143;Матвей;М;17;Казань;Гимназия;Информатика;11.4;да;8;7;7.0;5.8;3.6;87;да;Семёнов Матвей Андреевич;m.semenov@yandex.ru;8 966 980 74 97
144;Роман;М;17;Новосибирск;Обычная;Химия;14.0;да;6;8;8.0;8.6;3.9;88;да;Смирнов Роман Николаевич;r.smirnov@outlook.com;8 919 720 22 32
145;Виктория;Ж;17;Нижний Новгород;Гимназия;Информатика;9.2;нет;6;10;8.0;7.7;2.9;60;да;Новикова Виктория Александровна;v.novikova@outlook.com;+79787141478
146;Ксения;Ж;17;Новосибирск;Лицей;Обществознание;8.2;нет;5;7;3.0;6.2;2.6;38;нет;Семёнова Ксения Егоровна;kseniya_semenova54@yandex.ru;89962202171
147;Михаил;М;17;Нижний Новгород;Обычная;Английский язык;8.1;да;7;12;7.0;7.6;3.0;70;да;Богданов Михаил Максимович;mikhail147@yandex.ru;8 977 652 10 96
148;Тимофей;М;18;Москва;Обычная;Информатика;10.3;нет;9;5;9.0;6.8;2.3;80;да;Соколов Тимофей Сергеевич;t.sokolov@yandex.ru;+79665305715
149;Варвара;Ж;18;Ростов-на-Дону;Обычная;История;7.2;да;9;5;10.0;5.7;3.5;73;да;Кузнецова Варвара Дмитриевна;varvara.kuznetsova@yandex.ru;+7-954-334-71-58
150;Роман;М;17;Санкт-Петербург;Гимназия;Математика;11.7;да;10;2;9.0;;3.7;100;да;Волков Роман Андреевич;roman150@yandex.ru;+7 (975) 923-99-83
